[INFO | _internal | line 97] 2025-05-19T22:57:35+0800: 127.0.0.1 - - [19/May/2025 22:57:35] "[33mGET /wp-admin/setup-config.php HTTP/1.0[0m" 404 -
[INFO | _internal | line 97] 2025-05-19T22:57:40+0800: 127.0.0.1 - - [19/May/2025 22:57:40] "[33mGET /wordpress/wp-admin/setup-config.php HTTP/1.0[0m" 404 -
[INFO | _internal | line 97] 2025-05-19T22:57:50+0800: 127.0.0.1 - - [19/May/2025 22:57:50] "GET / HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-05-19T22:57:50+0800: 127.0.0.1 - - [19/May/2025 22:57:50] "GET /css.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-05-19T22:57:50+0800: 127.0.0.1 - - [19/May/2025 22:57:50] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-05-19T22:57:50+0800: 127.0.0.1 - - [19/May/2025 22:57:50] "GET /script.js HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-05-19T22:57:50+0800: 127.0.0.1 - - [19/May/2025 22:57:50] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[INFO | _internal | line 97] 2025-05-19T23:01:14+0800: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8000
[INFO | _internal | line 97] 2025-05-19T23:01:14+0800: [33mPress CTRL+C to quit[0m
[INFO | _internal | line 97] 2025-05-19T23:01:14+0800:  * Restarting with stat
[WARNING | _internal | line 97] 2025-05-19T23:01:14+0800:  * Debugger is active!
[INFO | _internal | line 97] 2025-05-19T23:01:14+0800:  * Debugger PIN: 928-822-166
[INFO | _internal | line 97] 2025-05-19T23:01:21+0800: 127.0.0.1 - - [19/May/2025 23:01:21] "GET / HTTP/1.0" 200 -
[INFO | _internal | line 97] 2025-05-19T23:01:37+0800: 127.0.0.1 - - [19/May/2025 23:01:37] "[33mGET /wordpress/wp-admin/setup-config.php HTTP/1.0[0m" 404 -
[INFO | _internal | line 97] 2025-05-19T23:01:39+0800: 127.0.0.1 - - [19/May/2025 23:01:39] "GET / HTTP/1.0" 200 -
[INFO | _internal | line 97] 2025-05-19T23:01:40+0800: 127.0.0.1 - - [19/May/2025 23:01:40] "GET /script.js HTTP/1.0" 200 -
[INFO | _internal | line 97] 2025-05-19T23:01:40+0800: 127.0.0.1 - - [19/May/2025 23:01:40] "GET /css.css HTTP/1.0" 200 -
[INFO | _internal | line 97] 2025-05-19T23:01:40+0800: 127.0.0.1 - - [19/May/2025 23:01:40] "GET /style.css HTTP/1.0" 200 -
[INFO | _internal | line 97] 2025-05-19T23:01:41+0800: 127.0.0.1 - - [19/May/2025 23:01:41] "[33mGET /favicon.ico HTTP/1.0[0m" 404 -
[INFO | _internal | line 97] 2025-05-19T23:02:36+0800: 127.0.0.1 - - [19/May/2025 23:02:36] "[36mGET / HTTP/1.0[0m" 304 -
[INFO | _internal | line 97] 2025-05-19T23:02:38+0800: 127.0.0.1 - - [19/May/2025 23:02:38] "[36mGET / HTTP/1.0[0m" 304 -
[INFO | _internal | line 97] 2025-05-19T23:06:49+0800: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.168.1.242:8000
[INFO | _internal | line 97] 2025-05-19T23:06:49+0800: [33mPress CTRL+C to quit[0m
[INFO | _internal | line 97] 2025-05-19T23:07:01+0800: 127.0.0.1 - - [19/May/2025 23:07:01] "[36mGET / HTTP/1.0[0m" 304 -
